Time,Open,High,Low,Close,Volume
2026-05-22 06:19:26.992,7502.7500,7503.0000,7498.0000,7500.5000,2590
2026-05-22 06:21:56.352,7500.5000,7501.2500,7496.2500,7496.5000,2642
2026-05-22 06:25:00.096,7496.5000,7497.7500,7494.7500,7497.2500,2457
2026-05-22 06:28:17.296,7497.5000,7500.0000,7496.2500,7498.5000,2508
2026-05-22 06:29:59.256,7498.5000,7498.7500,7495.5000,7496.5000,2547
2026-05-22 06:30:02.920,7496.5000,7497.0000,7493.7500,7494.0000,2468
2026-05-22 06:30:11.084,7494.0000,7494.0000,7491.0000,7492.7500,2485
2026-05-22 06:30:27.220,7492.7500,7495.2500,7491.7500,7494.5000,2451
2026-05-22 06:30:47.556,7494.5000,7499.7500,7494.5000,7499.7500,2477
2026-05-22 06:31:05.488,7499.5000,7503.2500,7498.7500,7502.7500,2410
2026-05-22 06:31:30.128,7502.7500,7505.5000,7502.5000,7503.7500,2477
2026-05-22 06:31:58.660,7503.7500,7504.7500,7502.5000,7504.0000,2576
2026-05-22 06:32:26.696,7504.0000,7507.7500,7503.7500,7506.5000,2496
2026-05-22 06:33:07.688,7506.2500,7507.5000,7505.0000,7506.5000,2395
2026-05-22 06:33:34.984,7506.5000,7508.0000,7503.5000,7505.5000,2588
2026-05-22 06:33:54.324,7505.5000,7507.5000,7501.2500,7501.5000,2636
2026-05-22 06:34:09.028,7501.5000,7502.7500,7500.0000,7502.5000,2368
2026-05-22 06:34:42.168,7502.5000,7504.7500,7502.5000,7504.0000,2540
2026-05-22 06:35:12.320,7504.0000,7507.0000,7504.0000,7505.7500,2369
2026-05-22 06:35:52.388,7506.0000,7507.2500,7504.7500,7506.0000,2391
2026-05-22 06:36:35.456,7506.0000,7507.2500,7505.2500,7505.7500,2496
2026-05-22 06:37:16.804,7505.7500,7508.2500,7505.0000,7507.7500,2441
2026-05-22 06:37:39.848,7507.7500,7510.7500,7507.7500,7509.7500,2431
2026-05-22 06:38:04.512,7509.7500,7512.2500,7508.7500,7512.2500,2446
2026-05-22 06:38:32.068,7512.2500,7513.2500,7511.0000,7511.5000,2639
2026-05-22 06:39:01.648,7511.5000,7511.7500,7510.0000,7511.5000,2506
2026-05-22 06:39:40.592,7511.5000,7514.2500,7510.7500,7511.5000,2556
2026-05-22 06:40:10.852,7511.5000,7514.2500,7510.5000,7514.2500,2438
2026-05-22 06:40:43.248,7514.2500,7516.2500,7513.0000,7513.0000,2401
2026-05-22 06:40:50.520,7513.0000,7513.0000,7509.5000,7511.0000,2391
2026-05-22 06:41:05.520,7511.0000,7511.0000,7509.0000,7509.5000,2628
2026-05-22 06:41:29.136,7509.2500,7511.2500,7509.0000,7510.0000,2594
2026-05-22 06:42:07.132,7510.0000,7512.2500,7509.5000,7510.7500,2549
2026-05-22 06:42:26.692,7510.7500,7511.5000,7507.2500,7508.7500,2671
2026-05-22 06:42:37.472,7508.7500,7511.7500,7504.0000,7504.5000,2546
2026-05-22 06:42:44.404,7504.5000,7511.2500,7504.0000,7511.2500,2608
2026-05-22 06:43:04.292,7511.2500,7511.5000,7506.0000,7508.2500,2844
2026-05-22 06:43:42.924,7508.2500,7510.0000,7507.0000,7510.0000,2483
2026-05-22 06:44:25.992,7510.0000,7511.5000,7509.7500,7510.5000,2564
2026-05-22 06:45:04.620,7510.5000,7510.5000,7506.7500,7510.0000,2442
2026-05-22 06:45:40.580,7510.0000,7513.2500,7510.0000,7513.0000,2516
2026-05-22 06:46:14.592,7513.0000,7514.0000,7511.7500,7513.0000,2588
2026-05-22 06:46:56.504,7513.0000,7515.7500,7512.5000,7514.2500,2625
2026-05-22 06:47:39.480,7514.2500,7514.5000,7512.5000,7514.0000,2345
2026-05-22 06:48:14.224,7514.0000,7514.2500,7510.7500,7510.7500,2426
2026-05-22 06:48:44.868,7510.7500,7511.0000,7508.0000,7508.0000,2664
2026-05-22 06:49:11.828,7508.0000,7508.0000,7505.2500,7506.2500,2592
2026-05-22 06:49:52.268,7506.2500,7508.5000,7504.7500,7507.7500,2615
2026-05-22 06:50:25.420,7507.7500,7509.0000,7504.0000,7504.0000,2386
2026-05-22 06:50:59.792,7504.0000,7506.2500,7503.5000,7503.7500,2726
2026-05-22 06:51:28.928,7503.7500,7504.2500,7500.5000,7503.7500,2609
2026-05-22 06:52:06.332,7503.7500,7505.7500,7501.2500,7501.7500,2420
2026-05-22 06:52:55.484,7501.7500,7503.7500,7500.7500,7503.7500,2501
2026-05-22 06:53:40.892,7503.7500,7505.7500,7501.5000,7503.5000,2478
2026-05-22 06:54:36.316,7503.5000,7506.0000,7503.5000,7505.0000,2331
2026-05-22 06:55:22.452,7505.0000,7508.0000,7504.0000,7506.2500,2288
2026-05-22 06:55:55.556,7506.2500,7506.7500,7502.5000,7502.7500,2660
2026-05-22 06:56:39.788,7503.0000,7504.7500,7502.0000,7502.0000,2388
2026-05-22 06:57:37.564,7502.0000,7505.7500,7501.7500,7503.2500,2349
2026-05-22 06:58:57.292,7503.5000,7506.0000,7502.2500,7505.0000,2233
2026-05-22 07:00:00.248,7505.0000,7510.0000,7502.2500,7503.0000,2387
2026-05-22 07:00:29.728,7503.0000,7506.0000,7501.0000,7504.0000,2648
2026-05-22 07:00:53.276,7504.0000,7504.7500,7498.5000,7499.0000,2660
2026-05-22 07:01:18.468,7499.0000,7502.5000,7497.7500,7500.5000,2315
2026-05-22 07:01:51.196,7500.5000,7501.2500,7497.0000,7497.0000,2356
2026-05-22 07:02:19.756,7497.0000,7499.5000,7496.0000,7496.0000,2377
2026-05-22 07:02:37.764,7496.0000,7497.0000,7492.0000,7494.0000,2421
2026-05-22 07:03:08.252,7494.0000,7498.0000,7494.0000,7498.0000,2463
2026-05-22 07:03:45.224,7498.0000,7498.0000,7494.5000,7496.0000,2467
2026-05-22 07:04:29.020,7496.0000,7497.7500,7495.2500,7496.5000,2434
2026-05-22 07:05:08.848,7496.5000,7497.0000,7494.0000,7494.7500,2355
2026-05-22 07:05:41.980,7494.7500,7495.5000,7493.0000,7493.2500,2582
